Year,Date,F-Scale EF(Scale),Injuries,Fatalities,Length (miles),Width (yards)
1969,10/10/1969,2,4,0,0.3,100
1969,10/10/1969,2,0,0,1,200
1970,03/25/1970,2,1,0,0.1,10
1970,04/19/1970,1,0,0,0.1,10
1970,04/30/1970,1,0,0,0.1,10
1970,04/30/1970,2,9,0,4.9,10
1970,05/09/1970,1,0,0,2.7,200
1970,05/24/1970,1,0,0,0.5,10
1970,06/01/1970,2,5,0,0.1,160
1970,06/01/1970,1,0,0,0.1,20
1970,06/14/1970,1,0,0,1.5,50
1970,06/16/1970,2,0,0,4.3,40
1970,06/16/1970,1,0,0,3,200
1970,06/16/1970,1,0,0,2,10
1970,06/16/1970,1,0,0,2,100
1970,07/08/1970,1,1,0,0.5,20
1970,07/19/1970,0,0,0,0.1,20
1970,09/09/1970,2,0,0,14.3,70
1970,09/09/1970,2,0,0,7.7,70
1970,09/23/1970,1,0,0,15.4,10
1971,02/19/1971,1,0,0,7.7,440
1971,02/19/1971,1,2,0,12,100
1971,03/15/1971,1,0,0,0.5,100
1971,04/27/1971,3,20,1,4.5,200
1971,05/06/1971,2,1,0,55.3,50
1971,05/06/1971,2,0,0,11.5,50
1971,05/06/1971,1,0,0,0.1,30
1971,05/24/1971,1,0,0,2,150
1971,06/01/1971,1,0,0,0.1,10
1971,06/15/1971,0,0,0,1.5,30
1971,07/18/1971,1,0,0,0.1,10
1971,08/21/1971,1,0,0,0.1,10
1971,08/24/1971,2,2,0,1,83
1971,11/01/1971,1,0,0,1.5,20
1971,11/01/1971,1,0,0,5.1,30
1971,12/10/1971,1,0,0,0.1,30
1971,12/15/1971,1,24,0,11.4,350
1972,04/06/1972,2,9,1,17.5,50
1972,04/06/1972,2,22,1,6.8,50
1972,04/06/1972,1,0,0,10.7,50
1972,04/06/1972,1,0,0,3.6,50
1972,04/06/1972,2,0,0,5.1,50
1972,04/06/1972,0,0,0,0.1,10
1972,04/13/1972,1,0,0,0.1,10
1972,04/13/1972,1,0,0,4.9,100
1972,04/14/1972,2,9,0,30.9,30
1972,04/21/1972,2,3,0,6.9,10
1972,04/21/1972,3,0,3,0.3,60
1972,04/21/1972,1,2,0,0.1,10
1972,04/21/1972,1,0,0,0.1,10
1972,04/21/1972,1,0,0,1,20
1972,05/14/1972,0,0,0,0.1,10
1972,05/14/1972,0,0,0,0.1,10
1972,06/03/1972,0,0,0,0.1,10
1972,06/09/1972,1,0,0,0.1,30
1972,06/19/1972,1,2,0,0.1,10
1972,06/19/1972,1,1,0,0.1,10
1972,07/12/1972,1,0,0,0.5,130
1972,07/14/1972,1,0,0,21.9,10
1972,07/14/1972,0,1,0,0.1,10
1972,07/17/1972,3,0,0,81.5,200
1972,07/17/1972,1,0,0,29.6,10
1972,07/17/1972,1,0,0,27.2,10
1972,07/17/1972,2,0,0,0.1,10
1972,08/23/1972,1,0,0,0.1,10
1972,08/25/1972,2,1,0,1.8,200
1972,09/28/1972,4,20,0,5.2,220
1973,01/18/1973,1,0,0,95.9,10
1973,03/31/1973,1,0,0,0.1,10
1973,03/31/1973,0,0,0,0.1,10
1973,03/31/1973,1,0,0,0.1,10
1973,03/31/1973,2,0,0,0.1,10
1973,04/19/1973,2,0,0,0.1,10
1973,04/21/1973,2,2,0,30.2,10
1973,04/21/1973,2,0,0,0.2,10
1973,04/21/1973,1,0,0,0.2,10
1973,04/21/1973,1,0,0,11.6,10
1973,04/21/1973,1,0,0,8.6,60
1973,05/07/1973,2,0,0,0.1,10
1973,05/07/1973,1,0,0,2.3,300
1973,05/07/1973,1,3,0,0.1,10
1973,05/07/1973,1,1,0,0.1,10
1973,05/07/1973,1,0,0,0.1,10
1973,05/08/1973,1,0,0,0.1,10
1973,06/02/1973,1,0,0,0.1,10
1973,06/02/1973,1,0,0,0.1,10
1973,06/02/1973,1,0,0,0.1,10
1973,06/02/1973,0,0,0,0.1,10
1973,06/02/1973,0,0,0,0.1,10
1973,06/02/1973,2,0,0,0.1,10
1973,06/02/1973,1,0,0,3,10
1973,06/04/1973,2,0,0,0.1,10
1973,06/04/1973,1,0,0,0.2,10
1973,06/04/1973,2,0,0,0.1,10
1973,06/12/1973,1,0,0,5.2,10
